organism,organ,assay,dataset_title,cell_type,count
Callithrix jacchus,Brodmann (1909) area 23,10x 3' v3,all.ASTROCYTES.comp,astrocyte,3097
Callithrix jacchus,Brodmann (1909) area 23,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,712
Callithrix jacchus,Brodmann (1909) area 23,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,522
Callithrix jacchus,Brodmann (1909) area 23,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,3558
Callithrix jacchus,Brodmann (1909) area 23,10x 3' v3,cortex.ASTROCYTES,astrocyte,2970
Callithrix jacchus,Brodmann (1909) area 23,10x 3' v3,cortex.GAD.all,GABAergic neuron,5462
Callithrix jacchus,Brodmann (1909) area 23,10x 3' v3,cortex.GLUT.all,glutamatergic neuron,21148
Callithrix jacchus,Brodmann (1909) area 23,10x 3' v3,cortex.OLIGO,oligodendrocyte,3875
Callithrix jacchus,Brodmann (1909) area 25,10x 3' v3,all.ASTROCYTES.comp,astrocyte,4088
Callithrix jacchus,Brodmann (1909) area 25,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,309
Callithrix jacchus,Brodmann (1909) area 25,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,1740
Callithrix jacchus,Brodmann (1909) area 25,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,4315
Callithrix jacchus,Brodmann (1909) area 25,10x 3' v3,cortex.GAD.all,GABAergic neuron,11667
Callithrix jacchus,Brodmann (1909) area 25,10x 3' v3,cortex.GLUT.all,glutamatergic neuron,31538
Callithrix jacchus,Brodmann (1909) area 25,10x 3' v3,pfc.a25.GAD,GABAergic neuron,19930
Callithrix jacchus,Brodmann (1909) area 25,10x 3' v3,pfc.a25.GLUT,glutamatergic neuron,56494
Callithrix jacchus,amygdala,10x 3' v3,all.ASTROCYTES.comp,astrocyte,8648
Callithrix jacchus,amygdala,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,70
Callithrix jacchus,amygdala,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,4342
Callithrix jacchus,amygdala,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,8056
Callithrix jacchus,amygdala,10x 3' v3,amygdala.GAD,GABAergic neuron,12738
Callithrix jacchus,amygdala,10x 3' v3,amygdala.GLUT,glutamatergic neuron,21478
Callithrix jacchus,anterior hypothalamic region,10x 3' v3,all.ASTROCYTES.comp,astrocyte,3242
Callithrix jacchus,anterior hypothalamic region,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,583
Callithrix jacchus,anterior hypothalamic region,10x 3' v3,all.EPENDYMA.comp,ependymal cell,2012
Callithrix jacchus,anterior hypothalamic region,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,6718
Callithrix jacchus,anterior hypothalamic region,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,11691
Callithrix jacchus,anterior hypothalamic region,10x 3' v3,hypothalamus.NEURONS,neuron,22092
Callithrix jacchus,basal forebrain,10x 3' v3,all.ASTROCYTES.comp,astrocyte,2588
Callithrix jacchus,basal forebrain,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,362
Callithrix jacchus,basal forebrain,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,1824
Callithrix jacchus,basal forebrain,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,9040
Callithrix jacchus,basal forebrain,10x 3' v3,bf.NEURONS,neuron,10857
Callithrix jacchus,brainstem,10x 3' v3,all.ASTROCYTES.comp,astrocyte,1980
Callithrix jacchus,brainstem,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,333
Callithrix jacchus,brainstem,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,4122
Callithrix jacchus,brainstem,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,30443
Callithrix jacchus,brainstem,10x 3' v3,brainstem.all,unknown,69605
Callithrix jacchus,caudate nucleus,10x 3' v3,all.ASTROCYTES.comp,astrocyte,6491
Callithrix jacchus,caudate nucleus,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,1372
Callithrix jacchus,caudate nucleus,10x 3' v3,all.EPENDYMA.comp,ependymal cell,4106
Callithrix jacchus,caudate nucleus,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,1776
Callithrix jacchus,caudate nucleus,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,12467
Callithrix jacchus,caudate nucleus,10x 3' v3,striatum.GAD,GABAergic interneuron,1882
Callithrix jacchus,caudate nucleus,10x 3' v3,striatum.SPN,medium spiny neuron,18342
Callithrix jacchus,central amygdaloid nucleus,10x 3' v3,all.ASTROCYTES.comp,astrocyte,1968
Callithrix jacchus,central amygdaloid nucleus,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,112
Callithrix jacchus,central amygdaloid nucleus,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,979
Callithrix jacchus,central amygdaloid nucleus,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,5001
Callithrix jacchus,central amygdaloid nucleus,10x 3' v3,bf.NEURONS,neuron,6099
Callithrix jacchus,cerebellum lobule,10x 3' v3,all.ASTROCYTES.comp,astrocyte,8
Callithrix jacchus,cerebellum lobule,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,221
Callithrix jacchus,cerebellum lobule,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,6938
Callithrix jacchus,cerebellum lobule,10x 3' v3,cbm.all,unknown,92981
Callithrix jacchus,dorsal thalamus,10x 3' v3,all.ASTROCYTES.comp,astrocyte,7222
Callithrix jacchus,dorsal thalamus,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,2077
Callithrix jacchus,dorsal thalamus,10x 3' v3,all.EPENDYMA.comp,ependymal cell,3530
Callithrix jacchus,dorsal thalamus,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,1888
Callithrix jacchus,dorsal thalamus,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,13173
Callithrix jacchus,dorsal thalamus,10x 3' v3,thalamus.NEURONS,neuron,23371
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,B cell,6
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,L2/3 intratelencephalic projecting glutamatergic neuron,50225
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,L5 extratelencephalic projecting glutamatergic cortical neuron,1361
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,L5/6 near-projecting glutamatergic neuron of the primary motor cortex,2879
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,L6 corticothalamic-projecting glutamatergic cortical neuron,4957
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex,6284
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,L6b glutamatergic cortical neuron,2654
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,T cell,113
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,VIP GABAergic cortical interneuron,6539
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,astrocyte,16146
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,chandelier pvalb GABAergic cortical interneuron,1614
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,endothelial cell,4275
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,erythroid lineage cell,233
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,inhibitory interneuron,2471
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,lamp5 GABAergic cortical interneuron,3542
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,macrophage,254
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,microglial cell,4626
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,myeloid cell,44
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,oligodendrocyte,17544
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,oligodendrocyte precursor cell,4586
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,pericyte,2521
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,pvalb GABAergic cortical interneuron,6085
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,smooth muscle cell,647
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,sst GABAergic cortical interneuron,8297
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,Single-nucleus transcriptome data from the dlPFC: Marmoset,vascular leptomeningeal cell,1564
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,all.ASTROCYTES.comp,astrocyte,9512
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,3084
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,1879
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,9560
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,cortex.ASTROCYTES,astrocyte,4723
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,cortex.GAD.all,GABAergic neuron,20608
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,cortex.GLUT.all,glutamatergic neuron,59346
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,cortex.OLIGO,oligodendrocyte,5559
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,pfc.a25.GAD,GABAergic neuron,20105
Callithrix jacchus,dorsolateral prefrontal cortex,10x 3' v3,pfc.a25.GLUT,glutamatergic neuron,59257
Callithrix jacchus,hippocampal formation,10x 3' v3,all.ASTROCYTES.comp,astrocyte,4934
Callithrix jacchus,hippocampal formation,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,593
Callithrix jacchus,hippocampal formation,10x 3' v3,all.EPENDYMA.comp,ependymal cell,1718
Callithrix jacchus,hippocampal formation,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,1417
Callithrix jacchus,hippocampal formation,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,6871
Callithrix jacchus,hippocampal formation,10x 3' v3,hippocampus.GAD,GABAergic neuron,3526
Callithrix jacchus,hippocampal formation,10x 3' v3,hippocampus.GLUT,glutamatergic neuron,17891
Callithrix jacchus,lateral amygdaloid nucleus,10x 3' v3,all.ASTROCYTES.comp,astrocyte,1159
Callithrix jacchus,lateral amygdaloid nucleus,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,5
Callithrix jacchus,lateral amygdaloid nucleus,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,215
Callithrix jacchus,lateral amygdaloid nucleus,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,1233
Callithrix jacchus,lateral amygdaloid nucleus,10x 3' v3,amygdala.GAD,GABAergic neuron,1784
Callithrix jacchus,lateral amygdaloid nucleus,10x 3' v3,amygdala.GLUT,glutamatergic neuron,1963
Callithrix jacchus,lateral geniculate body,10x 3' v3,all.ASTROCYTES.comp,astrocyte,1241
Callithrix jacchus,lateral geniculate body,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,1368
Callithrix jacchus,lateral geniculate body,10x 3' v3,all.EPENDYMA.comp,ependymal cell,5
Callithrix jacchus,lateral geniculate body,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,985
Callithrix jacchus,lateral geniculate body,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,4814
Callithrix jacchus,lateral geniculate body,10x 3' v3,thalamus.NEURONS,neuron,5270
Callithrix jacchus,lateral nuclear group of thalamus,10x 3' v3,all.ASTROCYTES.comp,astrocyte,3980
Callithrix jacchus,lateral nuclear group of thalamus,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,1037
Callithrix jacchus,lateral nuclear group of thalamus,10x 3' v3,all.EPENDYMA.comp,ependymal cell,89
Callithrix jacchus,lateral nuclear group of thalamus,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,3686
Callithrix jacchus,lateral nuclear group of thalamus,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,21328
Callithrix jacchus,lateral nuclear group of thalamus,10x 3' v3,thalamus.NEURONS,neuron,15785
Callithrix jacchus,medial amygdaloid nucleus,10x 3' v3,all.ASTROCYTES.comp,astrocyte,3018
Callithrix jacchus,medial amygdaloid nucleus,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,12
Callithrix jacchus,medial amygdaloid nucleus,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,437
Callithrix jacchus,medial amygdaloid nucleus,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,1163
Callithrix jacchus,medial amygdaloid nucleus,10x 3' v3,amygdala.GAD,GABAergic neuron,2422
Callithrix jacchus,medial amygdaloid nucleus,10x 3' v3,amygdala.GLUT,glutamatergic neuron,2201
Callithrix jacchus,medial dorsal nucleus of thalamus,10x 3' v3,all.ASTROCYTES.comp,astrocyte,4081
Callithrix jacchus,medial dorsal nucleus of thalamus,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,982
Callithrix jacchus,medial dorsal nucleus of thalamus,10x 3' v3,all.EPENDYMA.comp,ependymal cell,2169
Callithrix jacchus,medial dorsal nucleus of thalamus,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,854
Callithrix jacchus,medial dorsal nucleus of thalamus,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,10439
Callithrix jacchus,medial dorsal nucleus of thalamus,10x 3' v3,thalamus.NEURONS,neuron,15699
Callithrix jacchus,middle temporal gyrus,10x 3' v3,Marmoset: Great apes study,L2/3-6 intratelencephalic projecting glutamatergic neuron,42312
Callithrix jacchus,middle temporal gyrus,10x 3' v3,Marmoset: Great apes study,L5 extratelencephalic projecting glutamatergic cortical neuron,693
Callithrix jacchus,middle temporal gyrus,10x 3' v3,Marmoset: Great apes study,L6b glutamatergic cortical neuron,1283
Callithrix jacchus,middle temporal gyrus,10x 3' v3,Marmoset: Great apes study,VIP GABAergic cortical interneuron,2661
Callithrix jacchus,middle temporal gyrus,10x 3' v3,Marmoset: Great apes study,astrocyte of the cerebral cortex,6771
Callithrix jacchus,middle temporal gyrus,10x 3' v3,Marmoset: Great apes study,caudal ganglionic eminence derived cortical interneuron,246
Callithrix jacchus,middle temporal gyrus,10x 3' v3,Marmoset: Great apes study,cerebral cortex endothelial cell,508
Callithrix jacchus,middle temporal gyrus,10x 3' v3,Marmoset: Great apes study,chandelier pvalb GABAergic cortical interneuron,530
Callithrix jacchus,middle temporal gyrus,10x 3' v3,Marmoset: Great apes study,corticothalamic-projecting glutamatergic cortical neuron,2047
Callithrix jacchus,middle temporal gyrus,10x 3' v3,Marmoset: Great apes study,lamp5 GABAergic cortical interneuron,1322
Callithrix jacchus,middle temporal gyrus,10x 3' v3,Marmoset: Great apes study,microglial cell,2473
Callithrix jacchus,middle temporal gyrus,10x 3' v3,Marmoset: Great apes study,near-projecting glutamatergic cortical neuron,791
Callithrix jacchus,middle temporal gyrus,10x 3' v3,Marmoset: Great apes study,oligodendrocyte,3870
Callithrix jacchus,middle temporal gyrus,10x 3' v3,Marmoset: Great apes study,oligodendrocyte precursor cell,2868
Callithrix jacchus,middle temporal gyrus,10x 3' v3,Marmoset: Great apes study,pvalb GABAergic cortical interneuron,2440
Callithrix jacchus,middle temporal gyrus,10x 3' v3,Marmoset: Great apes study,sncg GABAergic cortical interneuron,948
Callithrix jacchus,middle temporal gyrus,10x 3' v3,Marmoset: Great apes study,sst GABAergic cortical interneuron,3474
Callithrix jacchus,middle temporal gyrus,10x 3' v3,Marmoset: Great apes study,vascular leptomeningeal cell,624
Callithrix jacchus,nucleus accumbens,10x 3' v3,all.ASTROCYTES.comp,astrocyte,4480
Callithrix jacchus,nucleus accumbens,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,470
Callithrix jacchus,nucleus accumbens,10x 3' v3,all.EPENDYMA.comp,ependymal cell,382
Callithrix jacchus,nucleus accumbens,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,831
Callithrix jacchus,nucleus accumbens,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,4729
Callithrix jacchus,nucleus accumbens,10x 3' v3,striatum.GAD,GABAergic interneuron,3066
Callithrix jacchus,nucleus accumbens,10x 3' v3,striatum.SPN,medium spiny neuron,21898
Callithrix jacchus,parietal cortex,10x 3' v3,all.ASTROCYTES.comp,astrocyte,4836
Callithrix jacchus,parietal cortex,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,2862
Callithrix jacchus,parietal cortex,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,1258
Callithrix jacchus,parietal cortex,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,6241
Callithrix jacchus,parietal cortex,10x 3' v3,cortex.ASTROCYTES,astrocyte,4611
Callithrix jacchus,parietal cortex,10x 3' v3,cortex.GAD.all,GABAergic neuron,8087
Callithrix jacchus,parietal cortex,10x 3' v3,cortex.GLUT.all,glutamatergic neuron,25291
Callithrix jacchus,parietal cortex,10x 3' v3,cortex.OLIGO,oligodendrocyte,6475
Callithrix jacchus,posterior hypothalamic region,10x 3' v3,all.ASTROCYTES.comp,astrocyte,3843
Callithrix jacchus,posterior hypothalamic region,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,416
Callithrix jacchus,posterior hypothalamic region,10x 3' v3,all.EPENDYMA.comp,ependymal cell,3119
Callithrix jacchus,posterior hypothalamic region,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,4544
Callithrix jacchus,posterior hypothalamic region,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,11259
Callithrix jacchus,posterior hypothalamic region,10x 3' v3,hypothalamus.NEURONS,neuron,10833
Callithrix jacchus,prefrontal cortex,10x 3' v3,all.ASTROCYTES.comp,astrocyte,24833
Callithrix jacchus,prefrontal cortex,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,6303
Callithrix jacchus,prefrontal cortex,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,6533
Callithrix jacchus,prefrontal cortex,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,18006
Callithrix jacchus,prefrontal cortex,10x 3' v3,cortex.ASTROCYTES,astrocyte,23978
Callithrix jacchus,prefrontal cortex,10x 3' v3,cortex.GAD.all,GABAergic neuron,45752
Callithrix jacchus,prefrontal cortex,10x 3' v3,cortex.GLUT.all,glutamatergic neuron,121494
Callithrix jacchus,prefrontal cortex,10x 3' v3,cortex.OLIGO,oligodendrocyte,20664
Callithrix jacchus,prefrontal cortex,10x 3' v3,pfc.a25.GAD,GABAergic neuron,47199
Callithrix jacchus,prefrontal cortex,10x 3' v3,pfc.a25.GLUT,glutamatergic neuron,120998
Callithrix jacchus,primary auditory cortex,10x 3' v3,all.ASTROCYTES.comp,astrocyte,6330
Callithrix jacchus,primary auditory cortex,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,2169
Callithrix jacchus,primary auditory cortex,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,1406
Callithrix jacchus,primary auditory cortex,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,5823
Callithrix jacchus,primary auditory cortex,10x 3' v3,cortex.ASTROCYTES,astrocyte,6231
Callithrix jacchus,primary auditory cortex,10x 3' v3,cortex.GAD.all,GABAergic neuron,9793
Callithrix jacchus,primary auditory cortex,10x 3' v3,cortex.GLUT.all,glutamatergic neuron,41007
Callithrix jacchus,primary auditory cortex,10x 3' v3,cortex.OLIGO,oligodendrocyte,5990
Callithrix jacchus,primary motor cortex,10x 3' v3,Evolution of cellular diversity in primary motor cortex of marmoset - excitatory neurons,glutamatergic neuron,8166
Callithrix jacchus,primary motor cortex,10x 3' v3,Evolution of cellular diversity in primary motor cortex of marmoset - inhibitory neurons,GABAergic neuron,9257
Callithrix jacchus,primary motor cortex,10x 3' v3,Evolution of cellular diversity in primary motor cortex of marmoset - non-neurons,astrocyte,800
Callithrix jacchus,primary motor cortex,10x 3' v3,Evolution of cellular diversity in primary motor cortex of marmoset - non-neurons,endothelial cell,454
Callithrix jacchus,primary motor cortex,10x 3' v3,Evolution of cellular diversity in primary motor cortex of marmoset - non-neurons,leptomeningeal cell,463
Callithrix jacchus,primary motor cortex,10x 3' v3,Evolution of cellular diversity in primary motor cortex of marmoset - non-neurons,microglial cell,800
Callithrix jacchus,primary motor cortex,10x 3' v3,Evolution of cellular diversity in primary motor cortex of marmoset - non-neurons,oligodendrocyte,1209
Callithrix jacchus,primary motor cortex,10x 3' v3,Evolution of cellular diversity in primary motor cortex of marmoset - non-neurons,oligodendrocyte precursor cell,200
Callithrix jacchus,primary motor cortex,10x 3' v3,Evolution of cellular diversity in primary motor cortex of marmoset - non-neurons,pericyte,363
Callithrix jacchus,primary motor cortex,10x 3' v3,all.ASTROCYTES.comp,astrocyte,8065
Callithrix jacchus,primary motor cortex,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,3129
Callithrix jacchus,primary motor cortex,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,1243
Callithrix jacchus,primary motor cortex,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,10460
Callithrix jacchus,primary motor cortex,10x 3' v3,cortex.ASTROCYTES,astrocyte,7730
Callithrix jacchus,primary motor cortex,10x 3' v3,cortex.GAD.all,GABAergic neuron,11870
Callithrix jacchus,primary motor cortex,10x 3' v3,cortex.GLUT.all,glutamatergic neuron,46837
Callithrix jacchus,primary motor cortex,10x 3' v3,cortex.OLIGO,oligodendrocyte,11042
Callithrix jacchus,primary somatosensory cortex,10x 3' v3,all.ASTROCYTES.comp,astrocyte,5520
Callithrix jacchus,primary somatosensory cortex,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,1961
Callithrix jacchus,primary somatosensory cortex,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,1410
Callithrix jacchus,primary somatosensory cortex,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,8038
Callithrix jacchus,primary somatosensory cortex,10x 3' v3,cortex.ASTROCYTES,astrocyte,5169
Callithrix jacchus,primary somatosensory cortex,10x 3' v3,cortex.GAD.all,GABAergic neuron,8674
Callithrix jacchus,primary somatosensory cortex,10x 3' v3,cortex.GLUT.all,glutamatergic neuron,32265
Callithrix jacchus,primary somatosensory cortex,10x 3' v3,cortex.OLIGO,oligodendrocyte,8122
Callithrix jacchus,primary visual cortex,10x 3' v3,all.ASTROCYTES.comp,astrocyte,3685
Callithrix jacchus,primary visual cortex,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,1299
Callithrix jacchus,primary visual cortex,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,464
Callithrix jacchus,primary visual cortex,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,3843
Callithrix jacchus,primary visual cortex,10x 3' v3,cortex.ASTROCYTES,astrocyte,3648
Callithrix jacchus,primary visual cortex,10x 3' v3,cortex.GAD.all,GABAergic neuron,3829
Callithrix jacchus,primary visual cortex,10x 3' v3,cortex.GLUT.all,glutamatergic neuron,27419
Callithrix jacchus,primary visual cortex,10x 3' v3,cortex.OLIGO,oligodendrocyte,4083
Callithrix jacchus,putamen,10x 3' v3,all.ASTROCYTES.comp,astrocyte,4440
Callithrix jacchus,putamen,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,640
Callithrix jacchus,putamen,10x 3' v3,all.EPENDYMA.comp,ependymal cell,1
Callithrix jacchus,putamen,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,944
Callithrix jacchus,putamen,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,7787
Callithrix jacchus,putamen,10x 3' v3,striatum.GAD,GABAergic interneuron,959
Callithrix jacchus,putamen,10x 3' v3,striatum.SPN,medium spiny neuron,17856
Callithrix jacchus,secondary visual cortex,10x 3' v3,all.ASTROCYTES.comp,astrocyte,3613
Callithrix jacchus,secondary visual cortex,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,1395
Callithrix jacchus,secondary visual cortex,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,403
Callithrix jacchus,secondary visual cortex,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,3216
Callithrix jacchus,secondary visual cortex,10x 3' v3,cortex.ASTROCYTES,astrocyte,3303
Callithrix jacchus,secondary visual cortex,10x 3' v3,cortex.GAD.all,GABAergic neuron,4583
Callithrix jacchus,secondary visual cortex,10x 3' v3,cortex.GLUT.all,glutamatergic neuron,25182
Callithrix jacchus,secondary visual cortex,10x 3' v3,cortex.OLIGO,oligodendrocyte,3441
Callithrix jacchus,temporal cortex,10x 3' v3,all.ASTROCYTES.comp,astrocyte,1217
Callithrix jacchus,temporal cortex,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,252
Callithrix jacchus,temporal cortex,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,597
Callithrix jacchus,temporal cortex,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,1271
Callithrix jacchus,temporal cortex,10x 3' v3,cortex.ASTROCYTES,astrocyte,1237
Callithrix jacchus,temporal cortex,10x 3' v3,cortex.GAD.all,GABAergic neuron,2562
Callithrix jacchus,temporal cortex,10x 3' v3,cortex.GLUT.all,glutamatergic neuron,10727
Callithrix jacchus,temporal cortex,10x 3' v3,cortex.OLIGO,oligodendrocyte,1370
Callithrix jacchus,temporal lobe,10x 3' v3,all.ASTROCYTES.comp,astrocyte,5514
Callithrix jacchus,temporal lobe,10x 3' v3,all.ENDOTHELIA.nocbm,endothelial cell,1428
Callithrix jacchus,temporal lobe,10x 3' v3,all.MICROGLIA_MACROPHAGE.comp,microglial cell,1772
Callithrix jacchus,temporal lobe,10x 3' v3,all.OLIGO_OPC.comp,oligodendrocyte,4946
