organism,organ,assay,cell_type_counts
Homo sapiens,cortex of kidney,10x 5' v1,"{""B cell"": 28, ""T cell"": 708, ""endothelial cell"": 1307, ""endothelial cell of arteriole"": 143, ""endothelial cell of lymphatic vessel"": 6, ""epithelial cell of early distal convoluted tubule"": 227, ""epithelial cell of proximal tubule"": 19982, ""epithelial cell of proximal tubule segment 3"": 87, ""fibroblast"": 527, ""glomerular capillary endothelial cell"": 408, ""kidney capillary endothelial cell"": 1008, ""kidney collecting duct alpha-intercalated cell"": 376, ""kidney collecting duct intercalated cell"": 1454, ""kidney collecting duct principal cell"": 1162, ""kidney connecting tubule epithelial cell"": 3875, ""kidney connecting tubule principal cell"": 120, ""kidney distal convoluted tubule epithelial cell"": 13261, ""kidney interstitial alternatively activated macrophage"": 79, ""kidney interstitial fibroblast"": 186, ""kidney loop of Henle thick ascending limb epithelial cell"": 16086, ""kidney loop of Henle thin ascending limb epithelial cell"": 700, ""kidney outer medulla collecting duct intercalated cell"": 62, ""kidney proximal convoluted tubule epithelial cell"": 1239, ""leukocyte"": 259, ""lymphocyte"": 206, ""macula densa epithelial cell"": 53, ""mast cell"": 1, ""mesangial cell"": 576, ""mural cell"": 140, ""myeloid dendritic cell"": 226, ""neutrophil"": 118, ""non-classical monocyte"": 130, ""parietal epithelial cell"": 2080, ""peritubular capillary endothelial cell"": 770, ""plasma cell"": 2, ""plasmacytoid dendritic cell"": 5, ""podocyte"": 1810, ""renal alpha-intercalated cell"": 2729, ""renal beta-intercalated cell"": 993, ""renal interstitial pericyte"": 296, ""renal principal cell"": 4144, ""vasa recta ascending limb cell"": 289, ""vasa recta descending limb cell"": 204, ""vascular associated smooth muscle cell"": 191}"
Homo sapiens,cortex of kidney,10x multiome,"{""B cell"": 2470, ""CD8-alpha-negative thymic conventional dendritic cell"": 1958, ""CD8-alpha-positive thymic conventional dendritic cell"": 281, ""T cell"": 488, ""adipocyte"": 20, ""adventitial fibroblast"": 2018, ""classical monocyte"": 858, ""cycling T cell"": 179, ""cycling macrophage"": 140, ""effector memory CD8-positive, alpha-beta T cell"": 3504, ""effector memory CD8-positive, alpha-beta T cell, terminally differentiated"": 422, ""endothelial cell"": 1090, ""endothelial cell of arteriole"": 691, ""endothelial cell of lymphatic vessel"": 34, ""endothelial cell of venule"": 1262, ""epithelial cell of early distal convoluted tubule"": 6765, ""epithelial cell of proximal tubule"": 33208, ""epithelial cell of proximal tubule segment 1"": 76571, ""epithelial cell of proximal tubule segment 2"": 24105, ""epithelial cell of proximal tubule segment 3"": 29993, ""erythrocyte"": 137, ""fibroblast"": 763, ""glomerular capillary endothelial cell"": 5898, ""group 3 innate lymphoid cell"": 226, ""juxtaglomerular complex cell"": 510, ""kidney collecting duct alpha-intercalated cell"": 25987, ""kidney collecting duct beta-intercalated cell"": 9038, ""kidney collecting duct intercalated cell"": 157, ""kidney collecting duct principal cell"": 6456, ""kidney connecting tubule epithelial cell"": 21602, ""kidney connecting tubule principal cell"": 9307, ""kidney cortex collecting duct principal cell"": 11018, ""kidney cortex peritubular capillary cell"": 9923, ""kidney distal convoluted tubule epithelial cell"": 35573, ""kidney efferent arteriole endothelial cell"": 841, ""kidney interstitial alternatively activated macrophage"": 199, ""kidney interstitial fibroblast"": 10548, ""kidney interstitial myofibroblast"": 836, ""kidney loop of Henle cortical thick ascending limb epithelial cell"": 39376, ""kidney loop of Henle thick ascending limb epithelial cell"": 61110, ""kidney loop of Henle thin ascending limb epithelial cell"": 177, ""kidney loop of Henle thin descending limb epithelial cell"": 4324, ""kidney outer medulla collecting duct intercalated cell"": 68, ""kidney outer medulla peritubular capillary cell"": 211, ""kidney proximal convoluted tubule epithelial cell"": 29217, ""kidney resident macrophage"": 10726, ""lymphocyte"": 48, ""macrophage"": 1039, ""macula densa epithelial cell"": 7507, ""mast cell"": 283, ""mesangial cell"": 1226, ""migratory dendtritic cell"": 146, ""mucosal invariant T cell"": 351, ""myeloid dendritic cell"": 192, ""naive regulatory T cell"": 747, ""naive thymus-derived CD4-positive, alpha-beta T cell"": 5016, ""natural killer cell"": 769, ""neural cell"": 113, ""neutrophil"": 46, ""non-classical monocyte"": 580, ""papillary tips cell"": 123, ""parietal epithelial cell"": 7321, ""peritubular capillary endothelial cell"": 2766, ""plasma cell"": 1861, ""plasmacytoid dendritic cell"": 3, ""plasmacytoid dendritic cell, human"": 276, ""podocyte"": 7207, ""renal beta-intercalated cell"": 1767, ""renal interstitial pericyte"": 1945, ""renal medullary fibroblast"": 1060, ""renal principal cell"": 4657, ""vasa recta ascending limb cell"": 1071, ""vasa recta cell"": 166, ""vasa recta descending limb cell"": 460, ""vascular associated smooth muscle cell"": 1309, ""vein endothelial cell"": 710}"
Homo sapiens,cortex of kidney,Smart-seq2,"{""B cell"": 102, ""CD4-positive, alpha-beta T cell"": 48, ""CD8-positive, alpha-beta T cell"": 93, ""kidney epithelial cell"": 129, ""macrophage"": 18, ""natural killer cell"": 66}"
Homo sapiens,cortical plate,10x multiome,"{""astrocyte"": 7, ""caudal ganglionic eminence derived cortical interneuron"": 13, ""endothelial cell"": 12, ""glutamatergic neuron"": 9005, ""inhibitory interneuron"": 3442, ""medial ganglionic eminence derived interneuron"": 5, ""microglial cell"": 59, ""neural progenitor cell"": 412, ""oligodendrocyte precursor cell"": 70, ""pericyte"": 13, ""radial glial cell"": 1270, ""vascular associated smooth muscle cell"": 28}"
Homo sapiens,cranial nerve II,10x 3' v3,"{""B cell"": 147, ""GABAergic amacrine cell"": 398, ""H1 horizontal cell"": 282, ""H2 horizontal cell"": 41, ""Mueller cell"": 729, ""OFF midget ganglion cell"": 152, ""OFF parasol ganglion cell"": 4, ""OFFx cell"": 21, ""ON midget ganglion cell"": 55, ""ON parasol ganglion cell"": 10, ""ON-blue cone bipolar cell"": 3, ""S cone cell"": 23, ""T cell"": 1645, ""adipocyte"": 543, ""amacrine cell"": 9, ""astrocyte"": 375187, ""blood vessel endothelial cell"": 21838, ""capillary endothelial cell"": 16342, ""dendritic cell"": 38, ""diffuse bipolar 1 cell"": 106, ""diffuse bipolar 2 cell"": 209, ""diffuse bipolar 3a cell"": 99, ""diffuse bipolar 3b cell"": 85, ""diffuse bipolar 4a cell"": 115, ""diffuse bipolar 4b cell"": 19, ""diffuse bipolar 5 cell"": 90, ""diffuse bipolar 6 cell"": 36, ""endothelial cell"": 265, ""endothelial cell of venule"": 7798, ""fenestrated endothelial cell"": 596, ""fibroblast"": 182721, ""flat midget bipolar cell"": 281, ""giant bipolar cell"": 61, ""glycinergic amacrine cell"": 176, ""invaginating midget bipolar cell"": 238, ""macrophage"": 6985, ""mast cell"": 87, ""melanocyte"": 85, ""microglial cell"": 41426, ""myelinating Schwann cell"": 336, ""natural killer cell"": 219, ""non-myelinating Schwann cell"": 698, ""oligodendrocyte"": 477611, ""oligodendrocyte precursor cell"": 18090, ""pericyte"": 5156, ""pigmented epithelial cell"": 5, ""retinal astrocyte"": 3144, ""retinal cone cell"": 237, ""retinal ganglion cell"": 48, ""retinal pigment epithelial cell"": 98, ""retinal rod cell"": 3217, ""rod bipolar cell"": 490, ""vascular associated smooth muscle cell"": 8062}"
Homo sapiens,crista ampullaris,10x 3' v3,"{""B cell"": 3, ""CD4-positive, alpha-beta T cell"": 21, ""CD8-positive, alpha-beta T cell"": 6, ""endothelial cell of vascular tree"": 303, ""hematopoietic cell"": 243, ""intermediate monocyte"": 9, ""macrophage"": 795, ""mast cell"": 3, ""melanocyte"": 369, ""monocyte"": 6, ""neutrophil"": 9, ""pericyte"": 2328, ""stromal cell"": 2799, ""supporting cell of vestibular epithelium"": 27, ""vascular associated smooth muscle cell"": 234, ""vestibular dark cell"": 36}"
Homo sapiens,cystic lymph node,10x 3' v3,"{""B cell"": 7354, ""CD34-negative, CD117-positive innate lymphoid cell, human"": 23970, ""T cell"": 13457, ""dendritic cell, human"": 3276, ""endothelial cell"": 884, ""granulocyte"": 170, ""group 3 innate lymphoid cell, human"": 80271, ""innate lymphoid cell"": 4738, ""mast cell"": 873, ""mononuclear phagocyte"": 470, ""natural killer cell"": 46509, ""plasma cell"": 788, ""plasmacytoid dendritic cell"": 2480, ""stromal cell"": 1582}"
Homo sapiens,decidua,10x 3' v2,"{""B cell"": 202, ""CD16-negative, CD56-bright natural killer cell, human"": 10, ""CD16-positive, CD56-dim natural killer cell, human"": 91, ""Hofbauer cell"": 1079, ""T cell"": 4757, ""conventional dendritic cell"": 315, ""decidual cell"": 12580, ""decidual natural killer cell, human"": 27176, ""dendritic cell"": 412, ""embryonic fibroblast"": 70, ""endothelial cell"": 1140, ""endothelial cell of lymphatic vessel"": 533, ""endothelial cell of placenta"": 156, ""endothelial cell of uterus"": 1051, ""epithelial cell"": 193, ""extravillous trophoblast"": 1058, ""fibroblast"": 3, ""glandular secretory epithelial cell"": 350, ""granulocyte"": 162, ""group 3 innate lymphoid cell, human"": 1355, ""innate lymphoid cell"": 184, ""macrophage"": 13627, ""monocyte"": 24, ""natural killer cell"": 1313, ""pericyte"": 1838, ""placental villous trophoblast"": 201, ""plasma cell"": 154, ""regulatory T cell"": 494, ""stromal cell"": 16028, ""syncytiotrophoblast cell"": 375, ""unknown"": 1270, ""uterine smooth muscle cell"": 362}"
Homo sapiens,decidua,10x 3' v3,"{""B cell"": 71, ""Hofbauer cell"": 1268, ""T cell"": 1146, ""decidual natural killer cell, human"": 6095, ""dendritic cell"": 228, ""embryonic fibroblast"": 403, ""endothelial cell of lymphatic vessel"": 215, ""endothelial cell of placenta"": 144, ""endothelial cell of uterus"": 1256, ""epithelial cell"": 10779, ""extravillous trophoblast"": 1730, ""granulocyte"": 37, ""group 3 innate lymphoid cell, human"": 668, ""macrophage"": 3568, ""natural killer cell"": 467, ""placental villous trophoblast"": 720, ""plasma cell"": 12, ""regulatory T cell"": 200, ""stromal cell"": 42452, ""syncytiotrophoblast cell"": 68, ""unknown"": 1103, ""uterine smooth muscle cell"": 500}"
Homo sapiens,decidua,10x multiome,"{""B cell"": 21, ""Hofbauer cell"": 35, ""T cell"": 157, ""decidual natural killer cell, human"": 230, ""dendritic cell"": 17, ""embryonic fibroblast"": 31, ""endothelial cell of lymphatic vessel"": 43, ""endothelial cell of placenta"": 96, ""endothelial cell of uterus"": 978, ""epithelial cell"": 880, ""extravillous trophoblast"": 280, ""group 3 innate lymphoid cell, human"": 57, ""macrophage"": 301, ""natural killer cell"": 65, ""placental villous trophoblast"": 32, ""plasma cell"": 1, ""regulatory T cell"": 41, ""stromal cell"": 22743, ""syncytiotrophoblast cell"": 12, ""uterine smooth muscle cell"": 23}"
Homo sapiens,decidua,Smart-seq2,"{""CD16-negative, CD56-bright natural killer cell, human"": 1, ""CD16-positive, CD56-dim natural killer cell, human"": 43, ""Hofbauer cell"": 70, ""T cell"": 1319, ""conventional dendritic cell"": 33, ""decidual cell"": 375, ""decidual natural killer cell, human"": 769, ""endothelial cell"": 80, ""extravillous trophoblast"": 123, ""fibroblast"": 13, ""glandular secretory epithelial cell"": 48, ""granulocyte"": 13, ""innate lymphoid cell"": 34, ""macrophage"": 1156, ""pericyte"": 84, ""placental villous trophoblast"": 130, ""plasma cell"": 12, ""syncytiotrophoblast cell"": 23}"
Homo sapiens,decidua basalis,10x 3' v3,"{""B cell"": 34, ""Hofbauer cell"": 3536, ""T cell"": 89, ""decidual natural killer cell, human"": 2342, ""dendritic cell"": 159, ""embryonic fibroblast"": 2776, ""endothelial cell of lymphatic vessel"": 785, ""endothelial cell of placenta"": 641, ""endothelial cell of uterus"": 2282, ""epithelial cell"": 3026, ""extravillous trophoblast"": 10590, ""granulocyte"": 22, ""group 3 innate lymphoid cell, human"": 144, ""macrophage"": 5357, ""natural killer cell"": 59, ""placental villous trophoblast"": 34916, ""plasma cell"": 16, ""regulatory T cell"": 24, ""stromal cell"": 11913, ""syncytiotrophoblast cell"": 61211, ""trophoblast giant cell"": 60, ""uterine smooth muscle cell"": 14409}"
Homo sapiens,decidua basalis,10x multiome,"{""B cell"": 9, ""Hofbauer cell"": 246, ""T cell"": 36, ""decidual natural killer cell, human"": 804, ""dendritic cell"": 18, ""embryonic fibroblast"": 272, ""endothelial cell of lymphatic vessel"": 64, ""endothelial cell of placenta"": 39, ""endothelial cell of uterus"": 205, ""epithelial cell"": 520, ""extravillous trophoblast"": 2443, ""granulocyte"": 3, ""group 3 innate lymphoid cell, human"": 30, ""macrophage"": 821, ""natural killer cell"": 18, ""placental villous trophoblast"": 3899, ""plasma cell"": 3, ""regulatory T cell"": 9, ""stromal cell"": 977, ""syncytiotrophoblast cell"": 15420, ""trophoblast giant cell"": 36, ""uterine smooth muscle cell"": 1574}"
Homo sapiens,dental pulp,10x 3' v2,"{""B cell"": 200, ""CD4-positive helper T cell"": 177, ""CD8-positive, alpha-beta T cell"": 265, ""Schwann cell"": 3854, ""T cell"": 256, ""blood vessel endothelial cell"": 5818, ""dendritic cell"": 65, ""endothelial cell"": 280, ""endothelial cell of vascular tree"": 5700, ""epithelial cell"": 27, ""fibroblast"": 24044, ""glial cell"": 114, ""hematopoietic stem cell"": 376, ""lymphocyte"": 788, ""macrophage"": 909, ""mural cell"": 7360, ""myeloid cell"": 696, ""natural killer cell"": 374, ""neutrophil"": 30, ""non-classical monocyte"": 86, ""odontoblast"": 4335, ""peripheral nervous system neuron"": 51, ""plasma cell"": 78}"
Homo sapiens,dental pulp,10x 3' v3,"{""B cell"": 13, ""CD4-positive helper T cell"": 883, ""CD8-positive, alpha-beta T cell"": 788, ""Schwann cell"": 10859, ""blood vessel endothelial cell"": 4840, ""dendritic cell"": 39, ""endothelial cell of vascular tree"": 5198, ""epithelial cell"": 2, ""fibroblast"": 20089, ""lymphocyte"": 1861, ""macrophage"": 991, ""melanocyte"": 1, ""mural cell"": 4788, ""myeloid cell"": 1199, ""natural killer cell"": 115, ""neutrophil"": 59, ""odontoblast"": 844}"
Homo sapiens,dentate nucleus,10x 3' v3,"{""Bergmann glial cell"": 58, ""T cell"": 17, ""brain vascular cell"": 2, ""cerebellar granule cell"": 2731, ""committed oligodendrocyte precursor"": 548, ""erythroid lineage cell"": 2, ""interneuron"": 169, ""leukocyte"": 6, ""macroglial cell"": 370, ""meningeal macrophage"": 3, ""microglial cell"": 944, ""oligodendrocyte"": 7925, ""unknown"": 1178}"
Homo sapiens,dermis,10x 3' v2,"{""Langerhans cell"": 48, ""Schwann cell"": 268, ""conventional dendritic cell"": 543, ""cytotoxic T cell"": 3384, ""dendritic cell"": 1811, ""endothelial cell of lymphatic vessel"": 4794, ""endothelial cell of vascular tree"": 25607, ""helper T cell"": 7666, ""inflammatory macrophage"": 901, ""innate lymphoid cell"": 5048, ""keratinocyte"": 666, ""macrophage"": 10640, ""mast cell"": 477, ""melanocyte"": 307, ""monocyte-derived dendritic cell"": 9050, ""natural killer cell"": 565, ""pericyte"": 4975, ""plasma cell"": 60, ""regulatory T cell"": 2287, ""skin fibroblast"": 17134}"
Homo sapiens,dermis,10x 3' v3,"{""endothelial cell"": 243, ""keratinocyte"": 325, ""leukocyte"": 356, ""melanocyte"": 340, ""pericyte"": 445, ""skin fibroblast"": 4037}"
Homo sapiens,descending aorta,10x 3' v3,"{""blood vessel smooth muscle cell"": 4204, ""endothelial cell of artery"": 3018, ""fibroblast"": 2945, ""lymphocyte"": 356, ""macrophage"": 3241, ""microcirculation associated smooth muscle cell"": 2696, ""unknown"": 121}"
Homo sapiens,descending colon,10x 3' v2,"{""B cell"": 210, ""BEST4+ enterocyte"": 301, ""CD4-positive, alpha-beta T cell"": 856, ""CD8-positive, alpha-beta T cell"": 301, ""T cell"": 3, ""colonocyte"": 3257, ""conventional dendritic cell"": 60, ""dendritic cell"": 6, ""endothelial cell"": 757, ""enterocyte"": 3683, ""enteroendocrine cell"": 70, ""epithelial cell"": 328, ""fibroblast"": 2540, ""glial cell"": 219, ""goblet cell"": 1454, ""innate lymphoid cell"": 22, ""intestinal crypt stem cell"": 187, ""intestine goblet cell"": 1764, ""leukocyte"": 84, ""lymphocyte"": 12, ""macrophage"": 690, ""mast cell"": 369, ""monocyte"": 12, ""myofibroblast cell"": 264, ""naive T cell"": 208, ""natural killer cell"": 131, ""paneth cell"": 2, ""pericyte"": 54, ""plasma cell"": 4644, ""plasmacytoid dendritic cell"": 203, ""regulatory T cell"": 101, ""stem cell"": 1282, ""stromal cell"": 109, ""transit amplifying cell"": 490, ""tuft cell"": 170, ""tuft cell of small intestine"": 98, ""unknown"": 232}"
Homo sapiens,descending colon,10x 3' v3,"{""BEST4+ colonocyte"": 262, ""BEST4+ enterocyte"": 288, ""colon goblet cell"": 947, ""colonocyte"": 256, ""early colonocyte"": 458, ""enterocyte of epithelium of large intestine"": 591, ""enteroendocrine cell"": 20, ""enteroendocrine cell of colon"": 29, ""goblet cell"": 271, ""intestinal crypt stem cell of colon"": 107, ""malignant cell"": 1460, ""progenitor cell"": 8, ""secretory cell"": 870, ""stem cell"": 38, ""transit amplifying cell"": 653, ""transit amplifying cell of colon"": 98, ""tuft cell of colon"": 354}"
Homo sapiens,descending colon,10x 5' v2,"{""B cell"": 10, ""BEST4+ enterocyte"": 2482, ""CD16-negative, CD56-bright natural killer cell, human"": 32, ""CD16-positive, CD56-dim natural killer cell, human"": 4, ""CD4-positive, alpha-beta T cell"": 9, ""CD4-positive, alpha-beta memory T cell"": 84, ""CD8-positive, alpha-beta T cell"": 4, ""CD8-positive, alpha-beta memory T cell"": 210, ""IgA plasma cell"": 5794, ""IgG plasma cell"": 310, ""IgM plasma cell"": 124, ""Langerhans cell"": 5, ""M cell of gut"": 2, ""T follicular helper cell"": 22, ""T-helper 1 cell"": 1, ""T-helper 17 cell"": 54, ""TREM2-positive macrophage"": 75, ""activated CD4-positive, alpha-beta T cell"": 14, ""activated CD8-positive, alpha-beta T cell"": 57, ""capillary endothelial cell"": 38, ""central memory CD4-positive, alpha-beta T cell"": 5, ""colon epithelial cell"": 787, ""colonocyte"": 9280, ""conventional dendritic cell"": 45, ""effector memory CD8-positive, alpha-beta T cell"": 69, ""endothelial cell of artery"": 188, ""endothelial cell of lymphatic vessel"": 174, ""enterocyte of epithelium of large intestine"": 775, ""enteroendocrine cell"": 44, ""enteroglial cell"": 8, ""epithelial cell"": 244, ""fibroblast"": 460, ""fibroblast of gingiva"": 4, ""follicular B cell"": 5, ""gamma-delta T cell"": 1228, ""gastrointestinal tract (lamina propria) macrophage"": 28, ""gastrointestinal tract (lamina propria) macrophage of large intestine"": 3, ""germinal center B cell"": 25, ""glial cell"": 44, ""goblet cell"": 107, ""group 3 innate lymphoid cell"": 16, ""innate lymphoid cell"": 2, ""intestinal crypt stem cell"": 328, ""intestinal tuft cell"": 20, ""intestine goblet cell"": 1868, ""macrophage"": 262, ""mast cell"": 54, ""memory B cell"": 282, ""monocyte"": 65, ""myofibroblast cell"": 10, ""naive B cell"": 178, ""naive thymus-derived CD4-positive, alpha-beta T cell"": 132, ""naive thymus-derived CD8-positive, alpha-beta T cell"": 16, ""natural killer cell"": 18, ""pericyte"": 56, ""plasma cell"": 1094, ""plasmablast"": 8, ""precursor B cell"": 8, ""progenitor cell of endocrine pancreas"": 1, ""regulatory T cell"": 26, ""stem cell"": 47, ""stromal cell"": 332, ""transit amplifying cell"": 2044, ""tuft cell of colon"": 16, ""tuft cell of small intestine"": 88, ""type EC enteroendocrine cell"": 1, ""type L enteroendocrine cell"": 2, ""vascular associated smooth muscle cell"": 72, ""vein endothelial cell"": 116}"
Homo sapiens,descending colon,TruDrop,"{""B cell"": 62, ""T cell"": 327, ""abnormal cell"": 179, ""endothelial cell"": 69, ""fibroblast"": 59, ""goblet cell"": 3345, ""gut absorptive cell"": 7230, ""intestinal crypt stem cell of colon"": 1100, ""intestinal enteroendocrine cell"": 110, ""intestinal epithelial cell"": 345, ""mast cell"": 39, ""myeloid cell"": 70, ""neoplastic cell"": 3948, ""plasma cell"": 270, ""transit amplifying cell"": 1415, ""tuft cell"": 175}"
Homo sapiens,diaphragm,10x 3' v3,"{""B cell"": 197, ""T cell"": 10298, ""dendritic cell"": 202, ""endothelial cell"": 1136, ""fallopian tube secretory epithelial cell"": 2589, ""fibroblast"": 7362, ""mast cell"": 74, ""monocyte"": 6583, ""plasma cell"": 268}"
Homo sapiens,diencephalon,10x 3' v2,"{""cell"": 88, ""erythrocyte"": 56, ""glioblast"": 812, ""macrophage"": 74, ""neuroblast (sensu Nematoda and Protostomia)"": 9546, ""neuroblast (sensu Vertebrata)"": 11490, ""neuron"": 33705, ""radial glial cell"": 47928}"
Homo sapiens,diencephalon,10x multiome,"{""GABAergic neuron"": 1938, ""Purkinje cell"": 282, ""Schwann cell"": 18, ""committed oligodendrocyte precursor"": 18, ""dopaminergic neuron"": 474, ""endothelial cell"": 860, ""glioblast"": 13846, ""glutamatergic neuron"": 2484, ""glycinergic neuron"": 726, ""immature T cell"": 28, ""interneuron"": 1354, ""leukocyte"": 194, ""microglial cell"": 1904, ""neural progenitor cell"": 50, ""neuroblast (sensu Nematoda and Protostomia)"": 196, ""neuroblast (sensu Vertebrata)"": 94, ""neuron"": 224, ""oligodendrocyte"": 106, ""oligodendrocyte precursor cell"": 1460, ""pericyte"": 2150, ""perivascular macrophage"": 72, ""progenitor cell"": 554, ""radial glial cell"": 5796, ""sensory neuron of dorsal root ganglion"": 94, ""serotonergic neuron"": 442, ""unknown"": 2352, ""vascular associated smooth muscle cell"": 136, ""vascular leptomeningeal cell"": 280}"
Homo sapiens,dorsal lateral plate region,10x 3' v2,"{""cardiac endothelial cell"": 248, ""hematopoietic stem cell"": 154, ""pluripotent stem cell"": 18609, ""progenitor cell"": 58}"
Homo sapiens,dorsal motor nucleus of vagus nerve,10x 3' v3,"{""GABAergic neuron"": 165, ""astrocyte"": 41995, ""central nervous system macrophage"": 33286, ""central nervous system neuron"": 12348, ""endothelial cell"": 3534, ""ependymal cell"": 12139, ""glutamatergic neuron"": 351, ""leukocyte"": 1055, ""mural cell"": 5309, ""oligodendrocyte"": 171831, ""oligodendrocyte precursor cell"": 21929}"
Homo sapiens,dorsal plus ventral thalamus,10x 3' v2,"{""astrocyte"": 2552, ""cell"": 125, ""ciliated cell"": 376, ""erythrocyte"": 164, ""fibroblast"": 2, ""glial cell"": 588, ""glioblast"": 3000, ""macrophage"": 130, ""neural cell"": 5092, ""neural progenitor cell"": 1292, ""neuroblast (sensu Nematoda and Protostomia)"": 26946, ""neuroblast (sensu Vertebrata)"": 24291, ""neuroepithelial stem cell"": 2706, ""neuron"": 51182, ""oligodendrocyte"": 4, ""radial glial cell"": 61391}"
Homo sapiens,dorsal plus ventral thalamus,10x 3' v3,"{""cell"": 354, ""erythrocyte"": 386, ""fibroblast"": 8, ""glioblast"": 9368, ""macrophage"": 354, ""neuroblast (sensu Nematoda and Protostomia)"": 28491, ""neuroblast (sensu Vertebrata)"": 18048, ""neuron"": 46236, ""oligodendrocyte"": 120, ""radial glial cell"": 68922}"
Homo sapiens,dorsal root ganglion,10x 3' v2,"{""sensory neuron of dorsal root ganglion"": 380}"
Homo sapiens,dorsal root ganglion,10x 3' v3,"{""sensory neuron of dorsal root ganglion"": 1457}"
Homo sapiens,dorsolateral prefrontal cortex,10x 3' v2,"{""T cell"": 25, ""erythrocyte"": 5, ""microglial cell"": 14086, ""monocyte"": 8, ""neural cell"": 18}"
Homo sapiens,dorsolateral prefrontal cortex,10x 3' v3,"{""B cell"": 722, ""GABAergic interneuron"": 794, ""GABAergic neuron"": 133875, ""L2/3 intratelencephalic projecting glutamatergic neuron"": 905408, ""L2/3-6 intratelencephalic projecting glutamatergic neuron"": 1804154, ""L5 extratelencephalic projecting glutamatergic cortical neuron"": 11505, ""L5/6 near-projecting glutamatergic neuron"": 45978, ""L5/6 near-projecting glutamatergic neuron of the primary motor cortex"": 1215, ""L6 corticothalamic-projecting glutamatergic cortical neuron"": 70732, ""L6 intratelencephalic projecting glutamatergic neuron"": 118317, ""L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex"": 4206, ""L6b glutamatergic cortical neuron"": 42025, ""L6b glutamatergic neuron of the primary motor cortex"": 51806, ""T cell"": 8601, ""VIP GABAergic cortical interneuron"": 563163, ""astrocyte"": 937495, ""astrocyte of the cerebral cortex"": 173440, ""caudal ganglionic eminence derived cortical interneuron"": 19654, ""cerebral cortex endothelial cell"": 5296, ""chandelier pvalb GABAergic cortical interneuron"": 33146, ""corticothalamic-projecting glutamatergic cortical neuron"": 59666, ""endothelial cell"": 90185, ""erythroid lineage cell"": 239, ""glutamatergic neuron"": 2388, ""inhibitory interneuron"": 2399, ""lamp5 GABAergic cortical interneuron"": 308294, ""macrophage"": 770, ""microglial cell"": 458885, ""mural cell"": 18, ""myeloid cell"": 81, ""natural killer cell"": 4352, ""near-projecting glutamatergic cortical neuron"": 39984, ""oligodendrocyte"": 3032357, ""oligodendrocyte precursor cell"": 541800, ""pericyte"": 54863, ""perivascular macrophage"": 23717, ""plasma cell"": 187, ""pvalb GABAergic cortical interneuron"": 544762, ""smooth muscle cell"": 14868, ""sncg GABAergic cortical interneuron"": 51712, ""sst GABAergic cortical interneuron"": 454042, ""vascular leptomeningeal cell"": 64341}"
Homo sapiens,dorsolateral prefrontal cortex,10x multiome,"{""GABAergic neuron"": 6431, ""L2/3-6 intratelencephalic projecting glutamatergic neuron"": 83104, ""L5 extratelencephalic projecting glutamatergic cortical neuron"": 498, ""L6b glutamatergic cortical neuron"": 1814, ""T cell"": 1217, ""VIP GABAergic cortical interneuron"": 10402, ""astrocyte"": 13947, ""astrocyte of the cerebral cortex"": 9016, ""capillary endothelial cell"": 8620, ""caudal ganglionic eminence derived cortical interneuron"": 2799, ""cerebral cortex endothelial cell"": 158, ""chandelier pvalb GABAergic cortical interneuron"": 1082, ""corticothalamic-projecting glutamatergic cortical neuron"": 3778, ""endothelial cell"": 1740, ""endothelial cell of artery"": 7388, ""ependymal cell"": 2, ""fibroblast"": 7633, ""glutamatergic neuron"": 11754, ""inhibitory interneuron"": 37, ""lamp5 GABAergic cortical interneuron"": 8856, ""medial ganglionic eminence derived interneuron"": 2381, ""microglial cell"": 20901, ""near-projecting glutamatergic cortical neuron"": 2074, ""neural progenitor cell"": 2, ""oligodendrocyte"": 38537, ""oligodendrocyte precursor cell"": 13366, ""pericyte"": 5390, ""perivascular cell"": 1327, ""perivascular macrophage"": 1044, ""pvalb GABAergic cortical interneuron"": 13048, ""radial glial cell"": 52, ""smooth muscle cell"": 7952, ""sncg GABAergic cortical interneuron"": 2304, ""sst GABAergic cortical interneuron"": 8532, ""vascular associated smooth muscle cell"": 327, ""vascular leptomeningeal cell"": 863, ""vein endothelial cell"": 4112}"
Homo sapiens,duodenal epithelium,10x 5' v2,"{""CD16-negative, CD56-bright natural killer cell, human"": 16, ""CD16-positive, CD56-dim natural killer cell, human"": 112, ""CD4-positive, alpha-beta memory T cell"": 284, ""CD8-positive, alpha-beta memory T cell"": 32, ""IgA plasma cell"": 8, ""T follicular helper cell"": 4, ""T-helper 17 cell"": 4, ""conventional dendritic cell"": 5, ""effector memory CD8-positive, alpha-beta T cell"": 64, ""gamma-delta T cell"": 4, ""group 3 innate lymphoid cell"": 4, ""macrophage"": 10, ""mature neutrophil"": 102, ""megakaryocyte"": 10, ""memory B cell"": 76, ""monocyte"": 830, ""mucosal invariant T cell"": 20, ""naive B cell"": 780, ""naive thymus-derived CD4-positive, alpha-beta T cell"": 812, ""naive thymus-derived CD8-positive, alpha-beta T cell"": 368, ""neutrophil"": 941, ""neutrophil progenitor cell"": 5, ""plasmablast"": 12, ""precursor B cell"": 4, ""regulatory T cell"": 72, ""transit amplifying cell"": 10}"
