organism,organ,assay,cell_type_counts
Callithrix jacchus,middle temporal gyrus,10x 3' v3,"{""L2/3-6 intratelencephalic projecting glutamatergic neuron"": 42312, ""L5 extratelencephalic projecting glutamatergic cortical neuron"": 693, ""L6b glutamatergic cortical neuron"": 1283, ""VIP GABAergic cortical interneuron"": 2661, ""astrocyte of the cerebral cortex"": 6771, ""caudal ganglionic eminence derived cortical interneuron"": 246, ""cerebral cortex endothelial cell"": 508, ""chandelier pvalb GABAergic cortical interneuron"": 530, ""corticothalamic-projecting glutamatergic cortical neuron"": 2047, ""lamp5 GABAergic cortical interneuron"": 1322, ""microglial cell"": 2473, ""near-projecting glutamatergic cortical neuron"": 791, ""oligodendrocyte"": 3870, ""oligodendrocyte precursor cell"": 2868, ""pvalb GABAergic cortical interneuron"": 2440, ""sncg GABAergic cortical interneuron"": 948, ""sst GABAergic cortical interneuron"": 3474, ""vascular leptomeningeal cell"": 624}"
Callithrix jacchus,nucleus accumbens,10x 3' v3,"{""GABAergic interneuron"": 3066, ""astrocyte"": 4480, ""endothelial cell"": 470, ""ependymal cell"": 382, ""medium spiny neuron"": 21898, ""microglial cell"": 831, ""oligodendrocyte"": 4729}"
Callithrix jacchus,parietal cortex,10x 3' v3,"{""GABAergic neuron"": 8087, ""astrocyte"": 9447, ""endothelial cell"": 2862, ""glutamatergic neuron"": 25291, ""microglial cell"": 1258, ""oligodendrocyte"": 12716}"
Callithrix jacchus,posterior hypothalamic region,10x 3' v3,"{""astrocyte"": 3843, ""endothelial cell"": 416, ""ependymal cell"": 3119, ""microglial cell"": 4544, ""neuron"": 10833, ""oligodendrocyte"": 11259}"
Callithrix jacchus,prefrontal cortex,10x 3' v3,"{""GABAergic neuron"": 92951, ""astrocyte"": 48811, ""endothelial cell"": 6303, ""glutamatergic neuron"": 242492, ""microglial cell"": 6533, ""oligodendrocyte"": 38670}"
Callithrix jacchus,primary auditory cortex,10x 3' v3,"{""GABAergic neuron"": 9793, ""astrocyte"": 12561, ""endothelial cell"": 2169, ""glutamatergic neuron"": 41007, ""microglial cell"": 1406, ""oligodendrocyte"": 11813}"
Callithrix jacchus,primary motor cortex,10x 3' v3,"{""GABAergic neuron"": 21127, ""astrocyte"": 16595, ""endothelial cell"": 3583, ""glutamatergic neuron"": 55003, ""leptomeningeal cell"": 463, ""microglial cell"": 2043, ""oligodendrocyte"": 22711, ""oligodendrocyte precursor cell"": 200, ""pericyte"": 363}"
Callithrix jacchus,primary somatosensory cortex,10x 3' v3,"{""GABAergic neuron"": 8674, ""astrocyte"": 10689, ""endothelial cell"": 1961, ""glutamatergic neuron"": 32265, ""microglial cell"": 1410, ""oligodendrocyte"": 16160}"
Callithrix jacchus,primary visual cortex,10x 3' v3,"{""GABAergic neuron"": 3829, ""astrocyte"": 7333, ""endothelial cell"": 1299, ""glutamatergic neuron"": 27419, ""microglial cell"": 464, ""oligodendrocyte"": 7926}"
Callithrix jacchus,putamen,10x 3' v3,"{""GABAergic interneuron"": 959, ""astrocyte"": 4440, ""endothelial cell"": 640, ""ependymal cell"": 1, ""medium spiny neuron"": 17856, ""microglial cell"": 944, ""oligodendrocyte"": 7787}"
