organism,assay_title,classification,lab,biosample,target,count
unknown,long read RNA-seq,primary cell,"Ana Conesa, UF",peripheral blood mononuclear cell,none,4
Homo sapiens,snATAC-seq,tissue,"Bing Ren, UCSD",esophagus muscularis mucosa,none,4
Homo sapiens,Control ChIP-seq,tissue,"Bradley Bernstein, Broad",breast epithelium,none,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",esophagus muscularis mucosa,H3K36me3,4
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","activated naive CD8-positive, alpha-beta T cell",H3K36me3,4
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","activated naive CD8-positive, alpha-beta T cell",H3K27ac,4
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","activated naive CD8-positive, alpha-beta T cell",H3K4me3,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",right lobe of liver,H3K36me3,4
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",natural killer cell,H3K4me1,4
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",activated T-cell,H3K4me1,4
Homo sapiens,total RNA-seq,tissue,"Barbara Wold, Caltech",right lobe of liver,none,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",right lobe of liver,H3K27ac,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",pancreas,H3K4me3,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",adrenal gland,H3K36me3,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",sigmoid colon,H3K27ac,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",thyroid gland,H3K36me3,4
Homo sapiens,Control ChIP-seq,tissue,"Bradley Bernstein, Broad",sigmoid colon,none,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",upper lobe of left lung,H3K9me3,4
Drosophila melanogaster,shRNA RNA-seq,whole organisms,"Susan Celniker, LBNL",whole organism,Hr51,4
Homo sapiens,Control ChIP-seq,tissue,"Bradley Bernstein, Broad",tibial artery,none,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",upper lobe of left lung,H3K4me3,4
Homo sapiens,Control ChIP-seq,tissue,"Bradley Bernstein, Broad",esophagus squamous epithelium,none,4
Homo sapiens,Control ChIP-seq,tissue,"Bradley Bernstein, Broad",stomach,none,4
Homo sapiens,Control ChIP-seq,tissue,"Bradley Bernstein, Broad",esophagus muscularis mucosa,none,4
Drosophila melanogaster,shRNA RNA-seq,whole organisms,"Susan Celniker, LBNL",whole organism,CG9876,4
Homo sapiens,Control ChIP-seq,tissue,"Bradley Bernstein, Broad",upper lobe of left lung,none,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",upper lobe of left lung,H3K4me1,4
Homo sapiens,long read RNA-seq,cell line,"Ali Mortazavi, UCI",K562,none,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",gastroesophageal sphincter,H3K27ac,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",gastrocnemius medialis,H3K27me3,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",thyroid gland,H3K4me1,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",esophagus muscularis mucosa,H3K27ac,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",esophagus squamous epithelium,H3K27me3,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",stomach,H3K9me3,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",transverse colon,H3K36me3,4
Homo sapiens,TF ChIP-seq,tissue,"Bradley Bernstein, Broad",thyroid gland,CTCF,4
Homo sapiens,Control ChIP-seq,tissue,"Bradley Bernstein, Broad",tibial nerve,none,4
Homo sapiens,Control ChIP-seq,tissue,"Bradley Bernstein, Broad",Peyer's patch,none,4
Homo sapiens,microRNA-seq,cell line,"Ali Mortazavi, UCI",GM12878,none,4
Homo sapiens,total RNA-seq,primary cell,"Barbara Wold, Caltech","activated CD8-positive, alpha-beta T cell",none,4
Homo sapiens,total RNA-seq,primary cell,"Barbara Wold, Caltech","activated CD4-positive, alpha-beta memory T cell",none,4
Homo sapiens,total RNA-seq,primary cell,"Barbara Wold, Caltech","activated naive CD8-positive, alpha-beta T cell",none,4
Homo sapiens,snATAC-seq,tissue,"Bing Ren, UCSD",upper lobe of left lung,none,4
Homo sapiens,snATAC-seq,tissue,"Bing Ren, UCSD",stomach,none,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",sigmoid colon,H3K36me3,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",tibial nerve,H3K36me3,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",gastrocnemius medialis,H3K27ac,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",stomach,H3K4me1,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",tibial nerve,H3K9me3,4
Mus musculus,ChIA-PET,primary cell,Charles Lee,embryonic stem cell,CTCF,4
Mus musculus,ChIA-PET,primary cell,Charles Lee,embryonic stem cell,POLR2A,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",sigmoid colon,H3K4me1,4
Mus musculus,DNase-seq,cell line,"John Stamatoyannopoulos, UW",ZHBTc4,none,4
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",IgD-negative memory B cell,H3K36me3,4
Mus musculus,long read RNA-seq,tissue,"Roderic Guigo, CRG",heart,none,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",upper lobe of left lung,H3K27ac,4
Homo sapiens,long read RNA-seq,tissue,"Roderic Guigo, CRG",liver,none,4
Homo sapiens,DNase-seq,cell line,"John Stamatoyannopoulos, UW",NOMO-1,none,4
Homo sapiens,DNase-seq,cell line,"John Stamatoyannopoulos, UW",NCI-H1417,none,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",upper lobe of left lung,H3K27me3,4
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","activated naive CD4-positive, alpha-beta T cell",H3K27me3,4
Homo sapiens,Control ChIP-seq,tissue,"Bradley Bernstein, Broad",transverse colon,none,4
Homo sapiens,DNase-seq,cell line,"John Stamatoyannopoulos, UW",Kasumi-1,none,4
Homo sapiens,Control ChIP-seq,tissue,"Bradley Bernstein, Broad",gastrocnemius medialis,none,4
Homo sapiens,long read RNA-seq,tissue,"Roderic Guigo, CRG",heart,none,4
Drosophila melanogaster,polyA plus RNA-seq,tissue,"Susan Celniker, LBNL",salivary gland,none,4
Homo sapiens,TF ChIP-seq,tissue,"Bradley Bernstein, Broad",pancreas,CTCF,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",stomach,H3K9me3,4
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,zag-1,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",lung,H3K27me3,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",lung,H3K36me3,4
Mus musculus,polyA plus RNA-seq,tissue,"Barbara Wold, Caltech",kidney,none,4
Drosophila simulans,polyA plus RNA-seq,whole organisms,"Brian Oliver, NIH",whole organism,none,4
Mus musculus,Control ChIP-seq,tissue,"Bing Ren, UCSD",stomach,none,4
Mus musculus,DNase-seq,tissue,"John Stamatoyannopoulos, UW",retina,none,4
Homo sapiens,Histone ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",mesenchymal stem cell,H3K27me3,4
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,aly-2,4
Homo sapiens,Histone ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",mesenchymal stem cell,H3K4me1,4
Homo sapiens,Histone ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",chondrocyte,H3K27me3,4
Homo sapiens,Histone ChIP-seq,primary cell,"Bradley Bernstein, Broad","CD4-positive, alpha-beta memory T cell",H3K4me3,4
Homo sapiens,Control ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",mesenchymal stem cell,none,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",transverse colon,H3K4me3,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",Peyer's patch,H3K4me1,4
Homo sapiens,polyA plus RNA-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",ectodermal cell,none,4
Homo sapiens,Control ChIP-seq,primary cell,"Bradley Bernstein, Broad","CD4-positive, alpha-beta memory T cell",none,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",stomach,H3K4me3,4
Homo sapiens,Histone ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",mesenchymal stem cell,H3K9ac,4
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,lin-13,4
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,nhr-28,4
Homo sapiens,polyA plus RNA-seq,cell line,"Thomas Gingeras, CSHL",GM12878,none,4
Homo sapiens,polyA plus RNA-seq,cell line,"Richard Myers, HAIB",Ishikawa,none,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",stomach,H3K4me2,4
Drosophila melanogaster,total RNA-seq,tissue,"Brenton Graveley, UConn",digestive system,none,4
Mus musculus,WGBS,tissue,"Joe Ecker, Salk",intestine,none,4
Mus musculus,polyA plus RNA-seq,tissue,"Barbara Wold, Caltech",lung,none,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",intestine,H3K4me3,4
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW",dermis blood vessel endothelial cell,none,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",intestine,H3K4me1,4
Homo sapiens,RNA microarray,primary cell,"John Stamatoyannopoulos, UW",dermis blood vessel endothelial cell,none,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",stomach,H3K27me3,4
Drosophila melanogaster,CAGE,cell line,"Susan Celniker, LBNL",ML-DmBG3-c2,none,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",intestine,H3K9me3,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",intestine,H3K4me2,4
Drosophila melanogaster,Repli-seq,cell line,"David MacAlpine, Duke",ML-DmBG3-c2,bromodeoxyuridine,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",lung,H3K4me2,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",kidney,H3K4me2,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",thyroid gland,H3K4me3,4
Homo sapiens,total RNA-seq,tissue,"Thomas Gingeras, CSHL",spleen,none,4
Homo sapiens,Control ChIP-seq,tissue,"Michael Snyder, Stanford",stomach,none,4
Homo sapiens,RAMPAGE,tissue,"Thomas Gingeras, CSHL",adrenal gland,none,4
Homo sapiens,small RNA-seq,tissue,"Thomas Gingeras, CSHL",upper lobe of left lung,none,4
Homo sapiens,TF ChIP-seq,tissue,"Michael Snyder, Stanford",stomach,CTCF,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",stomach,H3K27ac,4
Homo sapiens,Control ChIP-seq,tissue,"Michael Snyder, Stanford",thyroid gland,none,4
Homo sapiens,TF ChIP-seq,tissue,"Michael Snyder, Stanford",body of pancreas,POLR2A,4
Homo sapiens,Control ChIP-seq,tissue,"Michael Snyder, Stanford",transverse colon,none,4
Homo sapiens,TF ChIP-seq,tissue,"Michael Snyder, Stanford",spleen,CTCF,4
Drosophila melanogaster,polyA plus RNA-seq,tissue,"Susan Celniker, LBNL",central nervous system,none,4
Homo sapiens,small RNA-seq,tissue,"Thomas Gingeras, CSHL",gastroesophageal sphincter,none,4
Homo sapiens,small RNA-seq,tissue,"Thomas Gingeras, CSHL",stomach,none,4
Homo sapiens,RAMPAGE,tissue,"Thomas Gingeras, CSHL",upper lobe of left lung,none,4
Homo sapiens,DNAme array,tissue,"Richard Myers, HAIB",gastrocnemius medialis,none,4
Homo sapiens,TF ChIP-seq,tissue,"Richard Myers, HAIB",stomach,EP300,4
Homo sapiens,DNAme array,tissue,"Richard Myers, HAIB",tibial artery,none,4
Homo sapiens,Control ChIP-seq,tissue,"Richard Myers, HAIB",subcutaneous adipose tissue,none,4
Homo sapiens,DNAme array,tissue,"Richard Myers, HAIB",tibial nerve,none,4
Homo sapiens,RAMPAGE,tissue,"Thomas Gingeras, CSHL",sigmoid colon,none,4
Homo sapiens,DNAme array,tissue,"Richard Myers, HAIB",esophagus squamous epithelium,none,4
Homo sapiens,Control ChIP-seq,tissue,"Richard Myers, HAIB",omental fat pad,none,4
Homo sapiens,RAMPAGE,tissue,"Thomas Gingeras, CSHL",Peyer's patch,none,4
Homo sapiens,RAMPAGE,tissue,"Thomas Gingeras, CSHL",transverse colon,none,4
Homo sapiens,DNAme array,tissue,"Richard Myers, HAIB",suprapubic skin,none,4
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","activated naive CD8-positive, alpha-beta T cell",H3K9me3,4
Homo sapiens,total RNA-seq,tissue,"Thomas Gingeras, CSHL",adrenal gland,none,4
Homo sapiens,DNAme array,tissue,"Richard Myers, HAIB",body of pancreas,none,4
Homo sapiens,DNAme array,tissue,"Richard Myers, HAIB",spleen,none,4
Homo sapiens,genotyping array,tissue,"Richard Myers, HAIB",transverse colon,none,4
Homo sapiens,DNAme array,tissue,"Richard Myers, HAIB",thyroid gland,none,4
Homo sapiens,TF ChIP-seq,tissue,"Richard Myers, HAIB",subcutaneous adipose tissue,EP300,4
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",T47D,ESR1,4
Homo sapiens,TF ChIP-seq,cell line,"Sherman Weissman, Yale",K562,MYC,4
Mus musculus,polyA plus RNA-seq,tissue,"Thomas Gingeras, CSHL",liver,none,4
Homo sapiens,TF ChIP-seq,cell line,"Sherman Weissman, Yale",K562,POLR2A,4
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,POLR2A,4
Homo sapiens,CAGE,cell line,"Piero Carninci, RIKEN",SK-N-SH,none,4
Homo sapiens,DNase-seq,cell line,"Gregory Crawford, Duke",Ishikawa,none,4
Homo sapiens,TF ChIP-seq,cell line,"Kevin Struhl, HMS",MCF 10A,FOS,4
Homo sapiens,CAGE,cell line,"Piero Carninci, RIKEN",H1,none,4
Homo sapiens,TF ChIP-seq,cell line,"Sherman Weissman, Yale",K562,JUN,4
Homo sapiens,total RNA-seq,tissue,"Thomas Gingeras, CSHL",esophagus muscularis mucosa,none,4
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,Dfd,4
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,eve,4
Mus musculus,microRNA-seq,tissue,"Ali Mortazavi, UCI",kidney,none,4
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,unc-39,4
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,lin-39,4
Drosophila melanogaster,polyA plus RNA-seq,tissue,"Susan Celniker, LBNL",ovary,none,4
Homo sapiens,RNA microarray,tissue,"John Stamatoyannopoulos, UW",right kidney,none,4
Drosophila melanogaster,Control ChIP-seq,cell line,"Kevin White, UChicago",Kc167,none,4
Homo sapiens,Histone ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",chondrocyte,H3K9me3,4
Homo sapiens,total RNA-seq,tissue,"Thomas Gingeras, CSHL",upper lobe of left lung,none,4
Mus musculus,microRNA counts,tissue,"Ali Mortazavi, UCI",kidney,none,4
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,skn-1,4
Homo sapiens,total RNA-seq,tissue,"Thomas Gingeras, CSHL",tibial nerve,none,4
Homo sapiens,total RNA-seq,tissue,"Thomas Gingeras, CSHL",omental fat pad,none,4
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,Stat92E,4
Homo sapiens,Histone ChIP-seq,in vitro differentiated cells,"Bradley Bernstein, Broad",mesenchymal stem cell,H3K36me3,4
Homo sapiens,total RNA-seq,tissue,"Thomas Gingeras, CSHL",subcutaneous adipose tissue,none,4
Mus musculus,microRNA-seq,tissue,"Ali Mortazavi, UCI",lung,none,4
Homo sapiens,Control ChIP-seq,primary cell,"Bradley Bernstein, Broad","CD4-positive, alpha-beta T cell",none,4
Drosophila melanogaster,PAS-seq,tissue,"Susan Celniker, LBNL",head,none,4
Mus musculus,Control ChIP-seq,tissue,"Bing Ren, UCSD",intestine,none,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",esophagus muscularis mucosa,H3K4me1,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",Peyer's patch,H3K27me3,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",thyroid gland,H3K27ac,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",tibial nerve,H3K27ac,4
Drosophila melanogaster,Repli-seq,cell line,"David MacAlpine, Duke",S2,bromodeoxyuridine,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",intestine,H3K36me3,4
Drosophila melanogaster,total RNA-seq,whole organisms,"Brenton Graveley, UConn",carcass,none,4
Drosophila melanogaster,CAGE,tissue,"Susan Celniker, LBNL",head,none,4
Mus musculus,polyA plus RNA-seq,primary cell,"Christina Leslie, MSKCC","CD4-positive, CD25-positive, alpha-beta regulatory T cell",none,4
Homo sapiens,DNAme array,tissue,"Richard Myers, HAIB",esophagus muscularis mucosa,none,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",Peyer's patch,H3K4me3,4
Homo sapiens,RAMPAGE,tissue,"Thomas Gingeras, CSHL",gastroesophageal sphincter,none,4
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,nhr-12,4
Homo sapiens,RAMPAGE,tissue,"Thomas Gingeras, CSHL",esophagus muscularis mucosa,none,4
Homo sapiens,DNAme array,tissue,"Richard Myers, HAIB",omental fat pad,none,4
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",right lobe of liver,none,4
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,nhr-76,4
Homo sapiens,RAMPAGE,tissue,"Thomas Gingeras, CSHL",spleen,none,4
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,fos-1,4
Homo sapiens,microRNA-seq,tissue,"Ali Mortazavi, UCI",adrenal gland,none,4
Homo sapiens,DNAme array,tissue,"Richard Myers, HAIB",gastroesophageal sphincter,none,4
Homo sapiens,DNAme array,tissue,"Richard Myers, HAIB",subcutaneous adipose tissue,none,4
Homo sapiens,DNAme array,tissue,"Richard Myers, HAIB",sigmoid colon,none,4
Mus musculus,Control ChIP-seq,tissue,"Richard Myers, HAIB",lung,none,4
Mus musculus,Control ChIP-seq,in vitro differentiated cells,"Barbara Wold, Caltech",myocyte,none,4
Homo sapiens,TF ChIP-seq,tissue,"Richard Myers, HAIB",omental fat pad,EP300,4
Homo sapiens,DNAme array,tissue,"Richard Myers, HAIB",transverse colon,none,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",lung,H3K27ac,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",stomach,H3K4me1,4
Homo sapiens,TF ChIP-seq,tissue,"Michael Snyder, Stanford",body of pancreas,CTCF,4
Homo sapiens,TF ChIP-seq,cell line,"Richard Myers, HAIB",Ishikawa,ESR1,4
Homo sapiens,small RNA-seq,tissue,"Thomas Gingeras, CSHL",sigmoid colon,none,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",body of pancreas,H3K27ac,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",lung,H3K9me3,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",gastrocnemius medialis,H3K9me3,4
Homo sapiens,small RNA-seq,tissue,"Thomas Gingeras, CSHL",spleen,none,4
Homo sapiens,TF ChIP-seq,tissue,"Michael Snyder, Stanford",lower leg skin,POLR2A,4
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW","effector CD4-positive, alpha-beta T cell",none,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",adrenal gland,H3K9me3,4
Mus musculus,microRNA counts,tissue,"Ali Mortazavi, UCI",intestine,none,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",stomach,H3K36me3,4
Homo sapiens,long read RNA-seq,tissue,"John Stamatoyannopoulos, UW",placenta,none,4
Mus musculus,microRNA counts,tissue,"Ali Mortazavi, UCI",lung,none,4
Homo sapiens,total RNA-seq,primary cell,"John Stamatoyannopoulos, UW","effector CD8-positive, alpha-beta T cell",none,4
Homo sapiens,DNase-seq,cell line,"John Stamatoyannopoulos, UW",NCI-H446,none,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",intestine,H3K9ac,4
Homo sapiens,Control ChIP-seq,tissue,"Bradley Bernstein, Broad",thyroid gland,none,4
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,usp,4
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,ZNF24,4
Homo sapiens,total RNA-seq,tissue,"Barbara Wold, Caltech",psoas muscle,none,4
Homo sapiens,total RNA-seq,tissue,"Thomas Gingeras, CSHL",transverse colon,none,4
Homo sapiens,TF ChIP-seq,tissue,"Michael Snyder, Stanford",omental fat pad,CTCF,4
Homo sapiens,Control ChIP-seq,in vitro differentiated cells,"Bing Ren, UCSD",neuronal stem cell,none,4
Mus musculus,total RNA-seq,primary cell,"Barbara Wold, Caltech",B cell,none,4
Homo sapiens,Control ChIP-seq,in vitro differentiated cells,"Bing Ren, UCSD",mesendoderm,none,4
Homo sapiens,total RNA-seq,tissue,"Barbara Wold, Caltech",adrenal gland,none,4
Drosophila melanogaster,TF ChIP-seq,whole organisms,"Kevin White, UChicago",whole organism,Trl,4
Homo sapiens,Control ChIP-seq,tissue,"Michael Snyder, Stanford",omental fat pad,none,4
Homo sapiens,total RNA-seq,tissue,"Thomas Gingeras, CSHL",gastrocnemius medialis,none,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",intestine,H3K27ac,4
Mus musculus,long read RNA-seq,tissue,"Roderic Guigo, CRG",liver,none,4
Homo sapiens,polyA plus RNA-seq,tissue,"John Stamatoyannopoulos, UW",kidney,none,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",stomach,H3K9ac,4
Homo sapiens,polyA plus RNA-seq,cell line,"Thomas Gingeras, CSHL",SK-N-SH,none,4
Homo sapiens,RNA microarray,primary cell,"Thomas Gingeras, CSHL",keratinocyte,none,4
Homo sapiens,polyA plus RNA-seq,cell line,"Thomas Gingeras, CSHL",K562,none,4
Homo sapiens,polyA plus RNA-seq,cell line,"Barbara Wold, Caltech",K562,none,4
Homo sapiens,total RNA-seq,primary cell,"John Stamatoyannopoulos, UW",T-helper 2 cell,none,4
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW",foreskin fibroblast,none,4
Homo sapiens,Control ChIP-seq,cell line,"Kevin Struhl, HMS",MCF 10A,none,4
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW","central memory CD4-positive, alpha-beta T cell",none,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",stomach,H3K4me3,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",intestine,H3K27me3,4
Mus musculus,long read RNA-seq,tissue,"Roderic Guigo, CRG",brain,none,4
Mus musculus,WGBS,tissue,"Joe Ecker, Salk",stomach,none,4
Homo sapiens,polyA plus RNA-seq,cell line,"Richard Myers, HAIB",T47D,none,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",right lobe of liver,H3K4me3,4
Homo sapiens,Hi-C,cell line,"Erez Aiden, Baylor",HCT116,none,4
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",uterus,none,4
Homo sapiens,polyA plus RNA-seq,cell line,"Sherman Weissman, Yale",K562,none,4
Mus musculus,intact Hi-C,tissue,"Erez Aiden, Baylor",layer of hippocampus,none,4
Homo sapiens,PRO-cap,tissue,"Haiyuan Yu, Cornell",spleen,none,4
Homo sapiens,long read RNA-seq,tissue,"Roderic Guigo, CRG",brain,none,4
Homo sapiens,TF ChIP-seq,organoid,"Bradley Bernstein, Broad",brain,CTCF,4
Homo sapiens,TF ChIP-seq,cell line,"Michael Snyder, Stanford",K562,CEBPB,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",right lobe of liver,H3K9me3,4
Homo sapiens,Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad",activated T-cell,H3K4me3,4
Homo sapiens,long read RNA-seq,tissue,"John Stamatoyannopoulos, UW",spinal cord,none,4
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",mucosa of descending colon,none,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",tibial artery,H3K36me3,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",pancreas,H3K27me3,4
Homo sapiens,RNA microarray,tissue,"John Stamatoyannopoulos, UW",right lung,none,4
Homo sapiens,polyA plus RNA-seq,tissue,"John Stamatoyannopoulos, UW",left renal pelvis,none,4
Homo sapiens,Control Mint-ChIP-seq,primary cell,"Bradley Bernstein, Broad","activated naive CD8-positive, alpha-beta T cell",none,4
Homo sapiens,polyA plus RNA-seq,tissue,"John Stamatoyannopoulos, UW",right renal pelvis,none,4
Homo sapiens,RNA microarray,tissue,"John Stamatoyannopoulos, UW",left kidney,none,4
Homo sapiens,snATAC-seq,tissue,"Michael Snyder, Stanford",mucosa of descending colon,none,4
Homo sapiens,WGS,tissue,"Bing Ren, UCSD",spleen,none,4
Homo sapiens,MRE-seq,primary cell,"Joseph Costello, UCSF",neurosphere,none,4
Homo sapiens,polyA plus RNA-seq,tissue,"John Stamatoyannopoulos, UW",left renal cortex interstitium,none,4
Caenorhabditis elegans,TF ChIP-seq,whole organisms,"Michael Snyder, Stanford",whole organism,nhr-77,4
Homo sapiens,Control ChIP-seq,tissue,"Bradley Bernstein, Broad",gastroesophageal sphincter,none,4
Mus musculus,Histone ChIP-seq,tissue,"Bing Ren, UCSD",kidney,H3K9me3,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",stomach,H3K36me3,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",tibial nerve,H3K4me1,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",sigmoid colon,H3K4me3,4
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",gastrocnemius medialis,H3K36me3,4
