organism,assay_title,classification,lab,biosample,target,count
Homo sapiens,polyA plus RNA-seq,cell line,"Roderic Guigo, CRG",BLaER1,none,36
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",K562,none,35
Drosophila melanogaster,shRNA RNA-seq,whole organisms,"Susan Celniker, LBNL",whole organism,none,34
Mus musculus,long read scRNA-seq,tissue,"Ali Mortazavi, UCI",layer of hippocampus,none,33
Homo sapiens,DNase-seq,cell line,"John Stamatoyannopoulos, UW",HCT116,none,33
Homo sapiens,Control ChIP-seq,cell line,"Michael Snyder, Stanford",A549,none,33
Mus musculus,snRNA-seq,tissue,"Ali Mortazavi, UCI",heart,none,32
Homo sapiens,Control ChIP-seq,cell line,"Michael Snyder, Stanford",HEK293,none,30
Mus musculus,long read scRNA-seq,tissue,"Ali Mortazavi, UCI",adrenal gland,none,28
Mus musculus,DNase-seq,tissue,"John Stamatoyannopoulos, UW",liver,none,28
Homo sapiens,Control ChIP-seq,cell line,"Richard Myers, HAIB",K562,none,27
Homo sapiens,shRNA RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,none,27
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW","stimulated activated CD8-positive, alpha-beta memory T cell",none,27
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW","naive thymus-derived CD8-positive, alpha-beta T cell",none,26
Mus musculus,microRNA-seq,tissue,"Ali Mortazavi, UCI",heart,none,25
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",brain,none,25
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",HepG2,none,24
Homo sapiens,Control ChIP-seq,tissue,"Bradley Bernstein, Broad",skin epidermis,none,24
Mus musculus,DNase-seq,tissue,"John Stamatoyannopoulos, UW",cerebellum,none,24
Homo sapiens,ATAC-seq,in vitro differentiated cells,"Manuel Garber, UMass",dendritic cell,none,24
Mus musculus,DNase-seq,tissue,"John Stamatoyannopoulos, UW",kidney,none,23
Homo sapiens,DNase-seq,primary cell,"John Stamatoyannopoulos, UW","activated CD4-positive, CD25-positive, alpha-beta regulatory T cell",none,23
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",placenta,none,23
Mus musculus,DNase-seq,tissue,"John Stamatoyannopoulos, UW",heart,none,22
Homo sapiens,Histone ChIP-seq,tissue,"Bradley Bernstein, Broad",skin epidermis,H3K27ac,22
Homo sapiens,scRNA-seq,primary cell,"Barbara Wold, Caltech",Purkinje cell,none,22
Homo sapiens,DNase-seq,tissue,"John Stamatoyannopoulos, UW",stomach,none,22
Homo sapiens,CRISPR RNA-seq,cell line,"Brenton Graveley, UConn",K562,none,21
Mus musculus,DNase-seq,tissue,"John Stamatoyannopoulos, UW",left cerebral cortex,none,20
Homo sapiens,Control ChIP-seq,cell line,"Michael Snyder, Stanford",HepG2,none,20
